config,image,rate,position,p_embed
baseline,00075.png,0.5,0.099954,0.0
baseline,00075.png,0.5,0.109972,0.0
baseline,00075.png,0.5,0.119945,0.0
baseline,00075.png,0.5,0.129963,0.0
baseline,00075.png,0.5,0.139936,0.0
baseline,00075.png,0.5,0.149954,0.0
baseline,00075.png,0.5,0.159972,0.0
baseline,00075.png,0.5,0.169945,0.0
baseline,00075.png,0.5,0.179963,0.0
baseline,00075.png,0.5,0.189936,0.0
baseline,00075.png,0.5,0.199954,0.0
baseline,00075.png,0.5,0.209972,0.0
baseline,00075.png,0.5,0.219945,0.0
baseline,00075.png,0.5,0.229963,0.0
baseline,00075.png,0.5,0.239936,0.0
baseline,00075.png,0.5,0.249954,0.0
baseline,00075.png,0.5,0.259972,0.0
baseline,00075.png,0.5,0.269945,0.0
baseline,00075.png,0.5,0.279963,0.0
baseline,00075.png,0.5,0.289936,0.0
baseline,00075.png,0.5,0.299954,0.0
baseline,00075.png,0.5,0.309972,0.0
baseline,00075.png,0.5,0.319945,0.0
