attack,switches,rate,image,label,score
rs,,,15119.png,cover,0.381528
spa,,,15119.png,cover,0.268937
chi,,,16335.png,cover,0.0
rs,,,16335.png,cover,0.023264
spa,,,16335.png,cover,0.059245
chi,,,16362.png,cover,0.0
rs,,,16362.png,cover,0.005373
spa,,,16362.png,cover,-0.005691
chi,,,16484.png,cover,0.999992
rs,,,16484.png,cover,-0.022897
spa,,,16484.png,cover,0.041165
chi,,,16684.png,cover,0.999947
rs,,,16684.png,cover,0.020071
spa,,,16684.png,cover,-0.002939
chi,,,16705.png,cover,0.999861
rs,,,16705.png,cover,0.015939
spa,,,16705.png,cover,-0.00661
chi,,,16829.png,cover,1.0
rs,,,16829.png,cover,-0.042023
spa,,,16829.png,cover,-0.034082
chi,,,17155.png,cover,1.0
rs,,,17155.png,cover,0.021
spa,,,17155.png,cover,-0.081689
chi,,,17343.png,cover,0.999992
rs,,,17343.png,cover,0.027126
spa,,,17343.png,cover,0.019782
chi,,,17362.png,cover,0.998648
rs,,,17362.png,cover,0.02025
spa,,,17362.png,cover,0.0157
chi,,,17602.png,cover,0.001195
rs,,,17602.png,cover,0.076346
spa,,,17602.png,cover,0.001266
chi,,,18290.png,cover,0.0
rs,,,18290.png,cover,0.007302
spa,,,18290.png,cover,0.002208
chi,,,18374.png,cover,0.0
rs,,,18374.png,cover,0.009874
spa,,,18374.png,cover,0.036562
chi,,,18727.png,cover,0.995193
rs,,,18727.png,cover,-0.002412
spa,,,18727.png,cover,0.002812
chi,,,19411.png,cover,0.787779
rs,,,19411.png,cover,-0.095753
spa,,,19411.png,cover,-0.035886
chi,,,20033.png,cover,0.0
rs,,,20033.png,cover,-0.005669
spa,,,20033.png,cover,-0.002653
chi,,,20034.png,cover,0.999476
rs,,,20034.png,cover,-0.016549
spa,,,20034.png,cover,-0.003892
chi,,,20290.png,cover,1e-05
rs,,,20290.png,cover,-0.011867
spa,,,20290.png,cover,0.003063
chi,,,20867.png,cover,0.0
rs,,,20867.png,cover,0.018526
spa,,,20867.png,cover,0.026312
chi,,,20927.png,cover,0.0
rs,,,20927.png,cover,-0.020386
spa,,,20927.png,cover,-0.004273
chi,,,20970.png,cover,2e-06
rs,,,20970.png,cover,0.043025
spa,,,20970.png,cover,0.054076
chi,,,21175.png,cover,0.978639
rs,,,21175.png,cover,0.070959
spa,,,21175.png,cover,0.082453
chi,,,21179.png,cover,0.0
rs,,,21179.png,cover,0.025519
spa,,,21179.png,cover,-0.00615
chi,,,21320.png,cover,0.0
rs,,,21320.png,cover,-0.001439
spa,,,21320.png,cover,-0.008728
chi,,,21580.png,cover,0.891872
rs,,,21580.png,cover,0.004252
spa,,,21580.png,cover,0.028874
chi,,,23207.png,cover,0.0
rs,,,23207.png,cover,0.079098
spa,,,23207.png,cover,0.068176
chi,,,23417.png,cover,0.0
rs,,,23417.png,cover,-0.022158
spa,,,23417.png,cover,-0.007458
chi,,,24051.png,cover,0.0
rs,,,24051.png,cover,-0.003909
spa,,,24051.png,cover,-0.001925
chi,,,24958.png,cover,0.853601
rs,,,24958.png,cover,0.012303
spa,,,24958.png,cover,-0.011662
chi,,,25145.png,cover,0.0
rs,,,25145.png,cover,0.042179
spa,,,25145.png,cover,0.019823
chi,,,25314.png,cover,0.0
rs,,,25314.png,cover,-0.01702
spa,,,25314.png,cover,0.019761
