attack,switches,rate,image,label,score
chi,001,0.05,05230.png,stego,0.050526
rs,001,0.05,05230.png,stego,-0.060478
spa,001,0.05,05230.png,stego,-0.052916
chi,001,0.05,05483.png,stego,0.0
rs,001,0.05,05483.png,stego,0.268476
spa,001,0.05,05483.png,stego,0.232578
chi,001,0.05,05696.png,stego,0.942204
rs,001,0.05,05696.png,stego,-0.062128
spa,001,0.05,05696.png,stego,0.016115
chi,001,0.05,05818.png,stego,0.712611
rs,001,0.05,05818.png,stego,0.089867
spa,001,0.05,05818.png,stego,0.049322
chi,001,0.05,06007.png,stego,0.0
rs,001,0.05,06007.png,stego,0.046877
spa,001,0.05,06007.png,stego,0.004863
chi,001,0.05,06176.png,stego,0.999963
rs,001,0.05,06176.png,stego,0.027168
spa,001,0.05,06176.png,stego,-0.01705
chi,001,0.05,06573.png,stego,0.0
rs,001,0.05,06573.png,stego,0.187894
spa,001,0.05,06573.png,stego,0.10139
chi,001,0.05,06631.png,stego,0.0
rs,001,0.05,06631.png,stego,0.094737
spa,001,0.05,06631.png,stego,0.002325
chi,001,0.05,07456.png,stego,0.999719
rs,001,0.05,07456.png,stego,-0.013719
spa,001,0.05,07456.png,stego,-0.017964
chi,001,0.05,07666.png,stego,0.920516
rs,001,0.05,07666.png,stego,0.007838
spa,001,0.05,07666.png,stego,0.019881
chi,001,0.05,07686.png,stego,0.0
rs,001,0.05,07686.png,stego,0.588794
spa,001,0.05,07686.png,stego,0.273474
chi,001,0.05,07945.png,stego,0.996521
rs,001,0.05,07945.png,stego,0.043815
spa,001,0.05,07945.png,stego,0.033552
chi,001,0.05,07990.png,stego,0.0
rs,001,0.05,07990.png,stego,-0.070058
spa,001,0.05,07990.png,stego,-0.045924
chi,001,0.05,08393.png,stego,0.340075
rs,001,0.05,08393.png,stego,0.003311
spa,001,0.05,08393.png,stego,-0.009546
chi,001,0.05,08835.png,stego,0.982434
rs,001,0.05,08835.png,stego,0.015766
spa,001,0.05,08835.png,stego,0.003931
chi,001,0.05,08908.png,stego,0.0
rs,001,0.05,08908.png,stego,0.004785
spa,001,0.05,08908.png,stego,-0.008689
chi,001,0.05,09017.png,stego,0.0
rs,001,0.05,09017.png,stego,2.841106
spa,001,0.05,09017.png,stego,0.528662
chi,001,0.05,09100.png,stego,0.0
rs,001,0.05,09100.png,stego,0.005886
spa,001,0.05,09100.png,stego,0.026583
chi,001,0.05,09117.png,stego,0.975704
rs,001,0.05,09117.png,stego,-0.006826
spa,001,0.05,09117.png,stego,0.0139
chi,001,0.05,09172.png,stego,0.0
rs,001,0.05,09172.png,stego,-0.004288
spa,001,0.05,09172.png,stego,-0.00158
chi,001,0.05,09359.png,stego,0.0
rs,001,0.05,09359.png,stego,0.049765
spa,001,0.05,09359.png,stego,0.036029
chi,001,0.05,09603.png,stego,0.999599
rs,001,0.05,09603.png,stego,0.011496
spa,001,0.05,09603.png,stego,-0.021133
chi,001,0.05,09863.png,stego,0.998293
rs,001,0.05,09863.png,stego,-0.022178
spa,001,0.05,09863.png,stego,-0.002813
chi,001,0.05,09881.png,stego,0.0
rs,001,0.05,09881.png,stego,-0.008328
spa,001,0.05,09881.png,stego,0.009996
chi,001,0.05,10746.png,stego,0.0
rs,001,0.05,10746.png,stego,1.571004
spa,001,0.05,10746.png,stego,0.539263
chi,001,0.05,11115.png,stego,0.118544
rs,001,0.05,11115.png,stego,-0.037709
spa,001,0.05,11115.png,stego,-0.016178
chi,001,0.05,11396.png,stego,0.0
rs,001,0.05,11396.png,stego,0.048895
spa,001,0.05,11396.png,stego,0.020844
chi,001,0.05,12241.png,stego,0.0
rs,001,0.05,12241.png,stego,0.001261
spa,001,0.05,12241.png,stego,0.008253
chi,001,0.05,12281.png,stego,0.0
rs,001,0.05,12281.png,stego,0.000553
spa,001,0.05,12281.png,stego,0.011756
chi,001,0.05,12364.png,stego,0.997773
rs,001,0.05,12364.png,stego,-0.004572
spa,001,0.05,12364.png,stego,0.011571
chi,001,0.05,12677.png,stego,0.0
rs,001,0.05,12677.png,stego,0.243692
spa,001,0.05,12677.png,stego,0.183661
chi,001,0.05,12705.png,stego,1.0
rs,001,0.05,12705.png,stego,-0.011403
spa,001,0.05,12705.png,stego,-0.051036
chi,001,0.05,12834.png,stego,0.0
rs,001,0.05,12834.png,stego,0.411333
spa,001,0.05,12834.png,stego,0.312792
chi,001,0.05,12900.png,stego,0.999999
rs,001,0.05,12900.png,stego,0.002246
spa,001,0.05,12900.png,stego,0.05389
chi,001,0.05,13397.png,stego,0.0
rs,001,0.05,13397.png,stego,0.045382
spa,001,0.05,13397.png,stego,0.245832
chi,001,0.05,13948.png,stego,0.0
rs,001,0.05,13948.png,stego,0.026849
spa,001,0.05,13948.png,stego,0.035457
chi,001,0.05,14622.png,stego,0.141509
rs,001,0.05,14622.png,stego,-0.005594
spa,001,0.05,14622.png,stego,0.003455
chi,001,0.05,15015.png,stego,0.0
rs,001,0.05,15015.png,stego,0.003325
spa,001,0.05,15015.png,stego,-0.000296
chi,001,0.05,15119.png,stego,0.0
rs,001,0.05,15119.png,stego,0.39325
spa,001,0.05,15119.png,stego,0.294175
chi,001,0.05,16335.png,stego,0.0
rs,001,0.05,16335.png,stego,0.038992
spa,001,0.05,16335.png,stego,0.065736
chi,001,0.05,16362.png,stego,0.0
rs,001,0.05,16362.png,stego,0.006894
spa,001,0.05,16362.png,stego,-0.005133
chi,001,0.05,16484.png,stego,0.998936
rs,001,0.05,16484.png,stego,-0.025633
spa,001,0.05,16484.png,stego,0.037601
chi,001,0.05,16684.png,stego,0.999908
rs,001,0.05,16684.png,stego,-0.002903
spa,001,0.05,16684.png,stego,-0.016803
chi,001,0.05,16705.png,stego,0.999536
rs,001,0.05,16705.png,stego,0.014268
spa,001,0.05,16705.png,stego,-0.004541
chi,001,0.05,16829.png,stego,1.0
rs,001,0.05,16829.png,stego,-0.042174
spa,001,0.05,16829.png,stego,-0.030543
chi,001,0.05,17155.png,stego,1.0
rs,001,0.05,17155.png,stego,0.024356
spa,001,0.05,17155.png,stego,-0.078976
chi,001,0.05,17343.png,stego,0.999996
rs,001,0.05,17343.png,stego,0.03434
spa,001,0.05,17343.png,stego,0.023553
chi,001,0.05,17362.png,stego,0.989437
rs,001,0.05,17362.png,stego,0.016923
spa,001,0.05,17362.png,stego,0.00746
chi,001,0.05,17602.png,stego,0.001314
rs,001,0.05,17602.png,stego,0.057329
spa,001,0.05,17602.png,stego,0.039849
chi,001,0.05,18290.png,stego,0.0
rs,001,0.05,18290.png,stego,-0.003791
spa,001,0.05,18290.png,stego,-0.002478
chi,001,0.05,18374.png,stego,0.0
rs,001,0.05,18374.png,stego,0.003805
spa,001,0.05,18374.png,stego,0.036488
chi,001,0.05,18727.png,stego,0.995475
rs,001,0.05,18727.png,stego,-0.005935
spa,001,0.05,18727.png,stego,0.006553
chi,001,0.05,19411.png,stego,0.672691
rs,001,0.05,19411.png,stego,-0.119448
spa,001,0.05,19411.png,stego,-0.045073
chi,001,0.05,20033.png,stego,0.0
rs,001,0.05,20033.png,stego,-0.004335
spa,001,0.05,20033.png,stego,0.001067
chi,001,0.05,20034.png,stego,0.999003
rs,001,0.05,20034.png,stego,-0.017077
spa,001,0.05,20034.png,stego,-0.004504
chi,001,0.05,20290.png,stego,2.7e-05
rs,001,0.05,20290.png,stego,-0.005206
spa,001,0.05,20290.png,stego,0.006703
chi,001,0.05,20867.png,stego,0.0
rs,001,0.05,20867.png,stego,0.016301
spa,001,0.05,20867.png,stego,0.024466
chi,001,0.05,20927.png,stego,0.0
rs,001,0.05,20927.png,stego,-0.008178
spa,001,0.05,20927.png,stego,-0.000354
chi,001,0.05,20970.png,stego,4e-06
rs,001,0.05,20970.png,stego,0.043832
spa,001,0.05,20970.png,stego,0.066421
chi,001,0.05,21175.png,stego,0.999027
rs,001,0.05,21175.png,stego,0.057465
spa,001,0.05,21175.png,stego,0.059584
chi,001,0.05,21179.png,stego,0.0
rs,001,0.05,21179.png,stego,0.024796
spa,001,0.05,21179.png,stego,-0.004525
chi,001,0.05,21320.png,stego,0.0
rs,001,0.05,21320.png,stego,-0.001072
spa,001,0.05,21320.png,stego,-0.006814
chi,001,0.05,21580.png,stego,0.847112
rs,001,0.05,21580.png,stego,-0.011121
spa,001,0.05,21580.png,stego,0.027711
chi,001,0.05,23207.png,stego,0.0
rs,001,0.05,23207.png,stego,0.084229
spa,001,0.05,23207.png,stego,0.077091
chi,001,0.05,23417.png,stego,0.0
rs,001,0.05,23417.png,stego,-0.018419
spa,001,0.05,23417.png,stego,-0.005395
chi,001,0.05,24051.png,stego,0.0
rs,001,0.05,24051.png,stego,-0.010624
spa,001,0.05,24051.png,stego,-0.010094
chi,001,0.05,24958.png,stego,0.852536
rs,001,0.05,24958.png,stego,0.017416
spa,001,0.05,24958.png,stego,-0.006498
chi,001,0.05,25145.png,stego,0.0
rs,001,0.05,25145.png,stego,0.038234
spa,001,0.05,25145.png,stego,0.011926
chi,001,0.05,25314.png,stego,0.0
rs,001,0.05,25314.png,stego,-0.025542
spa,001,0.05,25314.png,stego,0.011404
chi,001,0.05,26159.png,stego,0.0
rs,001,0.05,26159.png,stego,-0.004336
spa,001,0.05,26159.png,stego,0.009701
chi,001,0.05,26366.png,stego,0.0
rs,001,0.05,26366.png,stego,0.288533
spa,001,0.05,26366.png,stego,0.204909
chi,001,0.05,27461.png,stego,0.0
rs,001,0.05,27461.png,stego,0.161741
spa,001,0.05,27461.png,stego,0.135903
chi,001,0.05,27608.png,stego,0.0
rs,001,0.05,27608.png,stego,0.001203
spa,001,0.05,27608.png,stego,-0.001122
chi,001,0.05,27654.png,stego,0.0
rs,001,0.05,27654.png,stego,-0.002061
spa,001,0.05,27654.png,stego,-0.000192
chi,001,0.05,27761.png,stego,0.0
rs,001,0.05,27761.png,stego,0.034709
spa,001,0.05,27761.png,stego,0.030633
chi,001,0.05,27939.png,stego,0.0
rs,001,0.05,27939.png,stego,0.326153
spa,001,0.05,27939.png,stego,0.2218
chi,001,0.05,28535.png,stego,0.000962
rs,001,0.05,28535.png,stego,0.007714
spa,001,0.05,28535.png,stego,-0.003257
chi,001,0.05,28747.png,stego,5.4e-05
rs,001,0.05,28747.png,stego,0.151634
spa,001,0.05,28747.png,stego,0.132261
chi,001,0.05,28865.png,stego,0.0
rs,001,0.05,28865.png,stego,0.00915
spa,001,0.05,28865.png,stego,0.009125
chi,001,0.05,28894.png,stego,0.996788
rs,001,0.05,28894.png,stego,-0.010148
spa,001,0.05,28894.png,stego,-0.030477
chi,001,0.05,29257.png,stego,1.0
rs,001,0.05,29257.png,stego,0.011563
spa,001,0.05,29257.png,stego,0.055988
chi,001,0.05,29452.png,stego,0.0
rs,001,0.05,29452.png,stego,0.039013
spa,001,0.05,29452.png,stego,0.014924
chi,001,0.05,29872.png,stego,0.175997
rs,001,0.05,29872.png,stego,0.033731
spa,001,0.05,29872.png,stego,0.047102
chi,001,0.05,30008.png,stego,0.0
rs,001,0.05,30008.png,stego,-0.015018
spa,001,0.05,30008.png,stego,0.019227
chi,001,0.05,30022.png,stego,0.972227
rs,001,0.05,30022.png,stego,-0.002044
spa,001,0.05,30022.png,stego,0.006405
chi,001,0.05,30496.png,stego,0.285801
rs,001,0.05,30496.png,stego,-0.004006
spa,001,0.05,30496.png,stego,-0.007187
chi,001,0.05,31030.png,stego,0.999872
rs,001,0.05,31030.png,stego,0.012994
spa,001,0.05,31030.png,stego,-0.002691
chi,001,0.05,31286.png,stego,0.0
rs,001,0.05,31286.png,stego,0.059832
spa,001,0.05,31286.png,stego,0.023288
chi,001,0.05,31386.png,stego,0.0
rs,001,0.05,31386.png,stego,-0.019952
spa,001,0.05,31386.png,stego,0.015127
chi,001,0.05,32528.png,stego,0.999998
rs,001,0.05,32528.png,stego,-0.000763
spa,001,0.05,32528.png,stego,-0.057266
chi,001,0.05,32707.png,stego,0.0
rs,001,0.05,32707.png,stego,0.546391
spa,001,0.05,32707.png,stego,0.236958
chi,001,0.05,32954.png,stego,1.0
rs,001,0.05,32954.png,stego,0.044399
spa,001,0.05,32954.png,stego,0.057699
chi,001,0.05,34238.png,stego,1.0
rs,001,0.05,34238.png,stego,0.018881
spa,001,0.05,34238.png,stego,0.027193
chi,001,0.05,34439.png,stego,0.899535
rs,001,0.05,34439.png,stego,0.005659
spa,001,0.05,34439.png,stego,-0.005553
chi,001,0.05,34523.png,stego,0.999999
rs,001,0.05,34523.png,stego,0.032096
spa,001,0.05,34523.png,stego,-0.049861
chi,001,0.05,34719.png,stego,0.0
rs,001,0.05,34719.png,stego,-0.000285
spa,001,0.05,34719.png,stego,-0.032133
chi,001,0.05,34761.png,stego,0.0
rs,001,0.05,34761.png,stego,-0.003265
spa,001,0.05,34761.png,stego,-0.004843
chi,001,0.05,34796.png,stego,0.0
rs,001,0.05,34796.png,stego,0.359344
spa,001,0.05,34796.png,stego,0.347944
chi,001,0.05,34971.png,stego,0.0
rs,001,0.05,34971.png,stego,0.001156
spa,001,0.05,34971.png,stego,-0.004587
chi,001,0.05,34974.png,stego,0.0
rs,001,0.05,34974.png,stego,0.32869
spa,001,0.05,34974.png,stego,0.319484
chi,001,0.05,34994.png,stego,0.0
rs,001,0.05,34994.png,stego,-0.010916
spa,001,0.05,34994.png,stego,-0.002493
chi,001,0.05,35698.png,stego,0.0
rs,001,0.05,35698.png,stego,-0.043924
spa,001,0.05,35698.png,stego,-0.025027
chi,001,0.05,36435.png,stego,0.000734
rs,001,0.05,36435.png,stego,-0.008552
spa,001,0.05,36435.png,stego,0.029925
chi,001,0.05,36586.png,stego,0.0
rs,001,0.05,36586.png,stego,0.010951
spa,001,0.05,36586.png,stego,0.017165
chi,001,0.05,37197.png,stego,0.0
rs,001,0.05,37197.png,stego,0.002587
spa,001,0.05,37197.png,stego,-0.024578
chi,001,0.05,37389.png,stego,6e-06
rs,001,0.05,37389.png,stego,0.042945
spa,001,0.05,37389.png,stego,0.006639
chi,001,0.05,38428.png,stego,0.0
rs,001,0.05,38428.png,stego,-0.010744
spa,001,0.05,38428.png,stego,-0.006891
chi,001,0.05,38470.png,stego,1.0
rs,001,0.05,38470.png,stego,0.06084
spa,001,0.05,38470.png,stego,-0.005508
chi,001,0.05,38891.png,stego,0.0
rs,001,0.05,38891.png,stego,0.250653
spa,001,0.05,38891.png,stego,0.232397
chi,001,0.05,39118.png,stego,0.0
rs,001,0.05,39118.png,stego,0.010669
spa,001,0.05,39118.png,stego,0.004461
chi,001,0.05,39241.png,stego,0.48294
rs,001,0.05,39241.png,stego,-0.003004
spa,001,0.05,39241.png,stego,-0.016547
chi,001,0.05,39652.png,stego,0.0
rs,001,0.05,39652.png,stego,-0.009642
spa,001,0.05,39652.png,stego,-0.008056
chi,001,0.05,39830.png,stego,0.002555
rs,001,0.05,39830.png,stego,-0.010566
spa,001,0.05,39830.png,stego,-0.079159
chi,001,0.05,40405.png,stego,0.615296
rs,001,0.05,40405.png,stego,0.001784
spa,001,0.05,40405.png,stego,-0.021235
chi,001,0.05,40688.png,stego,0.0
rs,001,0.05,40688.png,stego,-0.002849
spa,001,0.05,40688.png,stego,-0.001065
chi,001,0.05,40858.png,stego,0.999999
rs,001,0.05,40858.png,stego,0.097168
spa,001,0.05,40858.png,stego,0.13614
chi,001,0.05,41105.png,stego,0.985997
rs,001,0.05,41105.png,stego,0.002119
spa,001,0.05,41105.png,stego,0.011745
chi,001,0.05,41115.png,stego,0.046364
rs,001,0.05,41115.png,stego,-0.009506
spa,001,0.05,41115.png,stego,-0.013765
chi,001,0.05,41146.png,stego,0.999959
rs,001,0.05,41146.png,stego,-0.00378
spa,001,0.05,41146.png,stego,-0.016942
chi,001,0.05,41181.png,stego,0.992134
rs,001,0.05,41181.png,stego,0.034821
spa,001,0.05,41181.png,stego,-0.025834
chi,001,0.05,41246.png,stego,3.4e-05
rs,001,0.05,41246.png,stego,-0.032508
spa,001,0.05,41246.png,stego,-0.005877
chi,001,0.05,41468.png,stego,0.0
rs,001,0.05,41468.png,stego,2.121863
spa,001,0.05,41468.png,stego,0.555597
chi,001,0.05,42488.png,stego,0.0
rs,001,0.05,42488.png,stego,0.055454
spa,001,0.05,42488.png,stego,0.066957
chi,001,0.05,42505.png,stego,0.005588
rs,001,0.05,42505.png,stego,-0.020102
spa,001,0.05,42505.png,stego,-0.02494
chi,001,0.05,42754.png,stego,0.0
rs,001,0.05,42754.png,stego,0.000271
spa,001,0.05,42754.png,stego,-0.007617
chi,001,0.05,43280.png,stego,1.0
rs,001,0.05,43280.png,stego,0.124767
spa,001,0.05,43280.png,stego,0.103459
chi,001,0.05,43405.png,stego,0.0
rs,001,0.05,43405.png,stego,0.094957
spa,001,0.05,43405.png,stego,0.09346
chi,001,0.05,43934.png,stego,0.0
rs,001,0.05,43934.png,stego,-0.002297
spa,001,0.05,43934.png,stego,0.009216
chi,001,0.05,44588.png,stego,0.999902
rs,001,0.05,44588.png,stego,0.031369
spa,001,0.05,44588.png,stego,0.042093
chi,001,0.05,44598.png,stego,0.0
rs,001,0.05,44598.png,stego,0.015936
spa,001,0.05,44598.png,stego,0.003534
chi,001,0.05,45310.png,stego,0.0
rs,001,0.05,45310.png,stego,-0.00797
spa,001,0.05,45310.png,stego,0.011131
chi,001,0.05,45746.png,stego,0.0
rs,001,0.05,45746.png,stego,-0.036402
spa,001,0.05,45746.png,stego,-0.029305
chi,001,0.05,46026.png,stego,0.0
rs,001,0.05,46026.png,stego,0.265608
spa,001,0.05,46026.png,stego,0.189933
chi,001,0.05,46358.png,stego,0.999741
rs,001,0.05,46358.png,stego,-0.041867
spa,001,0.05,46358.png,stego,-0.046741
chi,001,0.05,46899.png,stego,0.0
rs,001,0.05,46899.png,stego,-0.018106
spa,001,0.05,46899.png,stego,-0.013908
chi,001,0.05,47053.png,stego,1e-06
rs,001,0.05,47053.png,stego,-0.023535
spa,001,0.05,47053.png,stego,0.004534
chi,001,0.05,47448.png,stego,0.0
rs,001,0.05,47448.png,stego,0.006536
spa,001,0.05,47448.png,stego,0.009226
chi,001,0.05,47577.png,stego,0.0
rs,001,0.05,47577.png,stego,0.022136
spa,001,0.05,47577.png,stego,0.021571
chi,001,0.05,47740.png,stego,0.0
rs,001,0.05,47740.png,stego,-0.00722
spa,001,0.05,47740.png,stego,0.009561
chi,001,0.05,47796.png,stego,0.0
rs,001,0.05,47796.png,stego,0.006852
spa,001,0.05,47796.png,stego,-0.002359
chi,001,0.05,47820.png,stego,0.965759
rs,001,0.05,47820.png,stego,0.001106
spa,001,0.05,47820.png,stego,0.058834
chi,001,0.05,48945.png,stego,0.999902
rs,001,0.05,48945.png,stego,0.058542
spa,001,0.05,48945.png,stego,-0.025871
chi,001,0.05,49673.png,stego,0.0
rs,001,0.05,49673.png,stego,0.00534
spa,001,0.05,49673.png,stego,0.001278
chi,001,0.05,49736.png,stego,0.0
rs,001,0.05,49736.png,stego,0.005979
spa,001,0.05,49736.png,stego,0.028259
chi,001,0.05,50141.png,stego,0.0
rs,001,0.05,50141.png,stego,0.275211
spa,001,0.05,50141.png,stego,0.221192
chi,001,0.05,50489.png,stego,0.0
rs,001,0.05,50489.png,stego,0.140161
spa,001,0.05,50489.png,stego,0.080613
chi,001,0.05,51174.png,stego,0.999238
rs,001,0.05,51174.png,stego,-0.006788
spa,001,0.05,51174.png,stego,0.01928
chi,001,0.05,51857.png,stego,0.128307
rs,001,0.05,51857.png,stego,0.004321
spa,001,0.05,51857.png,stego,-0.009477
chi,001,0.05,51877.png,stego,0.191332
rs,001,0.05,51877.png,stego,-0.016009
spa,001,0.05,51877.png,stego,-0.007042
chi,001,0.05,52228.png,stego,0.0
rs,001,0.05,52228.png,stego,0.056905
spa,001,0.05,52228.png,stego,0.039316
chi,001,0.05,52297.png,stego,0.0
rs,001,0.05,52297.png,stego,0.146055
spa,001,0.05,52297.png,stego,0.113538
chi,001,0.05,52566.png,stego,0.102202
rs,001,0.05,52566.png,stego,0.042838
spa,001,0.05,52566.png,stego,0.015326
chi,001,0.05,52744.png,stego,0.0
rs,001,0.05,52744.png,stego,0.124758
spa,001,0.05,52744.png,stego,0.114804
chi,001,0.05,52773.png,stego,0.0
rs,001,0.05,52773.png,stego,0.404364
spa,001,0.05,52773.png,stego,0.333795
chi,001,0.05,53270.png,stego,0.999936
rs,001,0.05,53270.png,stego,-0.02882
spa,001,0.05,53270.png,stego,-0.006326
chi,001,0.05,53355.png,stego,0.0
rs,001,0.05,53355.png,stego,0.055932
spa,001,0.05,53355.png,stego,0.072891
chi,001,0.05,53529.png,stego,0.0
rs,001,0.05,53529.png,stego,0.044198
spa,001,0.05,53529.png,stego,0.056665
chi,001,0.05,53965.png,stego,0.0
rs,001,0.05,53965.png,stego,-0.003117
spa,001,0.05,53965.png,stego,6.6e-05
chi,001,0.05,54041.png,stego,0.0
rs,001,0.05,54041.png,stego,0.090287
spa,001,0.05,54041.png,stego,0.087572
chi,001,0.05,54988.png,stego,0.016691
rs,001,0.05,54988.png,stego,-0.011501
spa,001,0.05,54988.png,stego,-0.015006
chi,001,0.05,55109.png,stego,0.0
rs,001,0.05,55109.png,stego,-0.017004
spa,001,0.05,55109.png,stego,0.007648
chi,001,0.05,55303.png,stego,0.0
rs,001,0.05,55303.png,stego,0.00173
spa,001,0.05,55303.png,stego,-0.005424
chi,001,0.05,55393.png,stego,0.0
rs,001,0.05,55393.png,stego,0.026694
spa,001,0.05,55393.png,stego,0.001655
chi,001,0.05,55445.png,stego,0.0
rs,001,0.05,55445.png,stego,-0.06068
spa,001,0.05,55445.png,stego,-0.072321
chi,001,0.05,55462.png,stego,0.0
rs,001,0.05,55462.png,stego,-0.003062
spa,001,0.05,55462.png,stego,0.002815
chi,001,0.05,55519.png,stego,0.0
rs,001,0.05,55519.png,stego,-0.05462
spa,001,0.05,55519.png,stego,-0.033638
chi,001,0.05,56058.png,stego,0.980385
rs,001,0.05,56058.png,stego,0.038961
spa,001,0.05,56058.png,stego,-0.018066
chi,001,0.05,56156.png,stego,0.0
rs,001,0.05,56156.png,stego,1.402338
spa,001,0.05,56156.png,stego,0.374389
chi,001,0.05,56499.png,stego,0.0
rs,001,0.05,56499.png,stego,0.0029
spa,001,0.05,56499.png,stego,0.005105
chi,001,0.05,56960.png,stego,0.0
rs,001,0.05,56960.png,stego,0.011425
spa,001,0.05,56960.png,stego,0.040808
chi,001,0.05,56986.png,stego,0.995725
rs,001,0.05,56986.png,stego,0.02504
spa,001,0.05,56986.png,stego,-0.018017
chi,001,0.05,57155.png,stego,0.991334
rs,001,0.05,57155.png,stego,-0.017843
spa,001,0.05,57155.png,stego,-0.014468
chi,001,0.05,57913.png,stego,0.0
rs,001,0.05,57913.png,stego,0.035503
spa,001,0.05,57913.png,stego,0.009275
chi,001,0.05,57955.png,stego,0.0
rs,001,0.05,57955.png,stego,0.008705
spa,001,0.05,57955.png,stego,0.012716
chi,001,0.05,58801.png,stego,0.999723
rs,001,0.05,58801.png,stego,-0.019627
spa,001,0.05,58801.png,stego,-0.003038
chi,001,0.05,58879.png,stego,0.127294
rs,001,0.05,58879.png,stego,-0.01473
spa,001,0.05,58879.png,stego,-0.003201
chi,001,0.05,59178.png,stego,0.0
rs,001,0.05,59178.png,stego,-0.011951
spa,001,0.05,59178.png,stego,-0.02042
chi,001,0.05,59471.png,stego,0.000208
rs,001,0.05,59471.png,stego,0.003197
spa,001,0.05,59471.png,stego,-0.053722
chi,001,0.05,59639.png,stego,0.0
rs,001,0.05,59639.png,stego,-0.007379
spa,001,0.05,59639.png,stego,0.000522
chi,001,0.05,59930.png,stego,0.494113
rs,001,0.05,59930.png,stego,0.012597
spa,001,0.05,59930.png,stego,-0.01356
chi,001,0.05,60069.png,stego,7e-06
rs,001,0.05,60069.png,stego,-0.017813
spa,001,0.05,60069.png,stego,-0.006379
chi,001,0.05,60590.png,stego,0.0
rs,001,0.05,60590.png,stego,0.016203
spa,001,0.05,60590.png,stego,0.031386
chi,001,0.05,60947.png,stego,0.0
rs,001,0.05,60947.png,stego,1.04447
spa,001,0.05,60947.png,stego,0.384612
chi,001,0.05,61349.png,stego,0.0
rs,001,0.05,61349.png,stego,0.186738
spa,001,0.05,61349.png,stego,0.217753
chi,001,0.05,62297.png,stego,0.0
rs,001,0.05,62297.png,stego,0.338052
spa,001,0.05,62297.png,stego,0.308121
chi,001,0.05,63654.png,stego,0.0
rs,001,0.05,63654.png,stego,0.939806
spa,001,0.05,63654.png,stego,0.313419
chi,001,0.05,63700.png,stego,1.0
rs,001,0.05,63700.png,stego,0.038308
spa,001,0.05,63700.png,stego,0.006739
chi,001,0.05,64687.png,stego,0.999922
rs,001,0.05,64687.png,stego,-0.035314
spa,001,0.05,64687.png,stego,-0.026257
chi,001,0.05,65436.png,stego,0.0
rs,001,0.05,65436.png,stego,0.968789
spa,001,0.05,65436.png,stego,0.388503
chi,001,0.05,66245.png,stego,0.302818
rs,001,0.05,66245.png,stego,0.023829
spa,001,0.05,66245.png,stego,-0.029415
chi,001,0.05,66470.png,stego,0.0
rs,001,0.05,66470.png,stego,-0.02069
spa,001,0.05,66470.png,stego,0.003968
chi,001,0.05,66541.png,stego,0.0
rs,001,0.05,66541.png,stego,0.068943
spa,001,0.05,66541.png,stego,0.05746
chi,001,0.05,66543.png,stego,0.0
rs,001,0.05,66543.png,stego,-0.010434
spa,001,0.05,66543.png,stego,-0.004381
chi,001,0.05,66563.png,stego,0.0
rs,001,0.05,66563.png,stego,0.003258
spa,001,0.05,66563.png,stego,-0.020428
chi,001,0.05,67001.png,stego,0.0
rs,001,0.05,67001.png,stego,-0.003068
spa,001,0.05,67001.png,stego,-0.019603
chi,001,0.05,67840.png,stego,0.0
rs,001,0.05,67840.png,stego,1.113806
spa,001,0.05,67840.png,stego,0.508752
chi,001,0.05,68523.png,stego,0.0
rs,001,0.05,68523.png,stego,0.026981
spa,001,0.05,68523.png,stego,0.038318
chi,001,0.05,69164.png,stego,0.985151
rs,001,0.05,69164.png,stego,-0.009041
spa,001,0.05,69164.png,stego,0.033323
chi,001,0.05,69515.png,stego,0.999356
rs,001,0.05,69515.png,stego,0.015199
spa,001,0.05,69515.png,stego,0.019734
chi,001,0.05,69823.png,stego,0.0
rs,001,0.05,69823.png,stego,0.001863
spa,001,0.05,69823.png,stego,-0.00809
chi,001,0.05,70011.png,stego,0.886489
rs,001,0.05,70011.png,stego,0.030024
spa,001,0.05,70011.png,stego,0.025965
chi,001,0.05,70283.png,stego,0.888507
rs,001,0.05,70283.png,stego,-0.08446
spa,001,0.05,70283.png,stego,-0.025201
chi,001,0.05,70293.png,stego,0.0
rs,001,0.05,70293.png,stego,0.096053
spa,001,0.05,70293.png,stego,0.040779
chi,001,0.05,70576.png,stego,0.0
rs,001,0.05,70576.png,stego,-0.004451
spa,001,0.05,70576.png,stego,-0.002786
chi,001,0.05,70679.png,stego,0.0
rs,001,0.05,70679.png,stego,-0.005134
spa,001,0.05,70679.png,stego,0.003403
chi,001,0.05,70698.png,stego,0.988595
rs,001,0.05,70698.png,stego,0.021495
spa,001,0.05,70698.png,stego,-0.023516
chi,001,0.05,70856.png,stego,0.0
rs,001,0.05,70856.png,stego,-0.004257
spa,001,0.05,70856.png,stego,0.004278
chi,001,0.05,71427.png,stego,0.0
rs,001,0.05,71427.png,stego,0.01113
spa,001,0.05,71427.png,stego,0.004181
chi,001,0.05,71483.png,stego,0.0
rs,001,0.05,71483.png,stego,0.006851
spa,001,0.05,71483.png,stego,-0.001495
chi,001,0.05,71820.png,stego,0.0
rs,001,0.05,71820.png,stego,0.155916
spa,001,0.05,71820.png,stego,0.128535
chi,001,0.05,72358.png,stego,0.0
rs,001,0.05,72358.png,stego,0.105161
spa,001,0.05,72358.png,stego,0.062758
