version,family,rate,attack,metric,value,eval_set
p1,ours,0.05,imperceptibility,ssim_global,0.99986,
p1,ours,0.1,imperceptibility,mse_global,0.049664,
p1,ours,0.1,imperceptibility,psnr_global,61.171931,
p1,ours,0.1,imperceptibility,psnr_region,51.154933,
p1,ours,0.1,imperceptibility,roundtrip_fail,0.196,
p1,ours,0.1,imperceptibility,ssim_global,0.999726,
p1,ours,0.25,imperceptibility,mse_global,0.124199,
p1,ours,0.25,imperceptibility,psnr_global,57.19106,
p1,ours,0.25,imperceptibility,psnr_region,51.153463,
p1,ours,0.25,imperceptibility,roundtrip_fail,0.228,
p1,ours,0.25,imperceptibility,ssim_global,0.99936,
p1,ours,0.5,imperceptibility,mse_global,0.248377,
p1,ours,0.5,imperceptibility,psnr_global,54.181069,
p1,ours,0.5,imperceptibility,psnr_region,51.153771,
p1,ours,0.5,imperceptibility,roundtrip_fail,0.244,
p1,ours,0.5,imperceptibility,ssim_global,0.998866,
p1,ours,1.0,imperceptibility,mse_global,0.496853,
p1,ours,1.0,imperceptibility,psnr_global,51.169911,
p1,ours,1.0,imperceptibility,psnr_region,51.152913,
p1,ours,1.0,imperceptibility,roundtrip_fail,0.252,
p1,ours,1.0,imperceptibility,ssim_global,0.998318,
p1,ours,0.05,ml,auc,0.596474,cv10
p1,ours,0.05,ml,pe,0.424,cv10
p1,ours,0.1,ml,auc,0.675949,cv10
p1,ours,0.1,ml,pe,0.3704,cv10
p1,ours,0.25,ml,auc,0.81993,cv10
p1,ours,0.25,ml,pe,0.2586,cv10
p1,ours,0.5,ml,auc,0.921256,cv10
p1,ours,0.5,ml,pe,0.151,cv10
p1,ours,1.0,ml,auc,0.997339,cv10
p1,ours,1.0,ml,pe,0.0186,cv10
p1,ours,0.05,rs,auc,0.526336,test250
p1,ours,0.05,rs,bias,0.036145,test250
p1,ours,0.05,rs,pe,0.462,test250
p1,ours,0.05,rs,phat,0.086145,test250
p1,ours,0.1,rs,auc,0.5392,test250
p1,ours,0.1,rs,bias,-0.014282,test250
p1,ours,0.1,rs,pe,0.436,test250
p1,ours,0.1,rs,phat,0.085718,test250
p1,ours,0.25,rs,auc,0.594,test250
p1,ours,0.25,rs,bias,-0.16526,test250
p1,ours,0.25,rs,pe,0.398,test250
p1,ours,0.25,rs,phat,0.08474,test250
p1,ours,0.5,rs,auc,0.600448,test250
p1,ours,0.5,rs,bias,-0.426834,test250
p1,ours,0.5,rs,pe,0.386,test250
p1,ours,0.5,rs,phat,0.073166,test250
p1,ours,1.0,rs,auc,0.469504,test250
p1,ours,1.0,rs,bias,-0.973995,test250
p1,ours,1.0,rs,pe,0.454,test250
p1,ours,1.0,rs,phat,0.026005,test250
p1,ours,0.05,spa,auc,0.511792,test250
p1,ours,0.05,spa,bias,-0.006906,test250
p1,ours,0.05,spa,pe,0.47,test250
p1,ours,0.05,spa,phat,0.043094,test250
p1,ours,0.1,spa,auc,0.524448,test250
p1,ours,0.1,spa,bias,-0.05624,test250
p1,ours,0.1,spa,pe,0.462,test250
p1,ours,0.1,spa,phat,0.04376,test250
p1,ours,0.25,spa,auc,0.543408,test250
p1,ours,0.25,spa,bias,-0.203584,test250
p1,ours,0.25,spa,pe,0.442,test250
p1,ours,0.25,spa,phat,0.046416,test250
p1,ours,0.5,spa,auc,0.530432,test250
p1,ours,0.5,spa,bias,-0.455412,test250
p1,ours,0.5,spa,pe,0.448,test250
p1,ours,0.5,spa,phat,0.044588,test250
p1,ours,1.0,spa,auc,0.4908,test250
p1,ours,1.0,spa,bias,-0.967581,test250
p1,ours,1.0,spa,pe,0.436,test250
p1,ours,1.0,spa,phat,0.032419,test250
p1,ours,0.05,stegexpose,auc,0.514768,test250
p1,ours,0.05,stegexpose,pe,0.47,test250
